,name,g,ab,h,ba,bb,2b,2b.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,3b,3b.pg,r,r.pg,through
69,Mt. St. Mary's,15,513,152,0.296,61,15,22,1.47,1,0.07,24,18,42,1.6,7,7,187,0.365,5,0.33,87,5.8,3/20/11
70,Air Force,21,716,212,0.296,62,21,30,1.43,13,0.62,29,8,37,1.38,7,15,299,0.418,9,0.43,125,6,3/20/11
71,Texas A&M,20,679,201,0.296,59,20,30,1.5,9,0.45,32,12,44,1.6,10,21,282,0.415,12,0.6,123,6.2,3/20/11
72,N.C. A&T,19,642,190,0.296,63,19,38,2,12,0.63,26,7,33,1.37,7,4,282,0.439,9,0.47,111,5.8,3/20/11
73,George Mason,21,730,216,0.296,100,21,47,2.24,15,0.71,18,6,24,0.86,18,12,312,0.427,2,0.1,147,7,3/20/11
74,Wright St.,16,551,163,0.296,53,16,32,2,2,0.13,11,7,18,0.69,4,18,207,0.376,3,0.19,85,5.3,3/20/11
75,Fresno St.,16,521,154,0.296,58,16,33,2.06,13,0.81,9,7,16,0.56,8,13,240,0.461,7,0.44,110,6.9,3/20/11
76,St. Bonaventure,14,471,139,0.295,50,14,21,1.5,5,0.36,12,11,23,0.86,5,7,179,0.38,2,0.14,77,5.5,3/20/11
77,South Ala.,18,617,182,0.295,66,18,42,2.33,10,0.56,13,13,26,0.72,7,7,260,0.421,3,0.17,99,5.5,3/20/11
78,Charleston So.,21,699,206,0.295,79,21,25,1.19,10,0.48,29,10,39,1.38,8,34,267,0.382,3,0.14,115,5.5,3/20/11
79,TCU,19,666,196,0.294,62,19,39,2.05,16,0.84,31,8,39,1.63,7,20,305,0.458,11,0.58,105,5.5,3/20/11
80,Stephen F. Austin,21,758,223,0.294,77,21,41,1.95,7,0.33,37,14,51,1.76,10,10,295,0.389,5,0.24,132,6.3,3/20/11
81,Troy,20,663,195,0.294,102,20,54,2.7,7,0.35,26,5,31,1.3,16,16,282,0.425,6,0.3,151,7.6,3/20/11
82,Georgetown,21,732,215,0.294,94,21,48,2.29,15,0.71,42,15,57,2,7,7,320,0.437,6,0.29,159,7.6,3/20/11
